! $17.95	1985	1	1	1
! $17.95	1987	1	1	1
! $17.95	1990	1	1	1
! $17.95	1991	1	1	1
! $17.95	1992	5	5	5
! $17.95	1993	2	2	2
! $17.95	1995	1	1	1
! $17.95	1996	4	2	2
! $17.95	1997	6	5	5
! $17.95	1998	4	3	3
! $17.95	1999	11	10	10
! $17.95	2000	11	9	9
! $17.95	2001	5	4	4
! $17.95	2002	5	5	5
! $17.95	2003	2	2	2
! $17.95	2004	14	14	14
! $17.95	2005	13	13	13
! $17.95	2006	5	5	5
! $17.95	2007	2	2	2
! $17.95	2008	2	2	2
! 09	1780	1	1	1
! 09	1803	1	1	1
! 09	1806	1	1	1
! 09	1823	1	1	1
! 09	1824	1	1	1
! 09	1825	1	1	1
! 09	1829	3	3	3
! 09	1830	2	2	2
! 09	1831	1	1	1
! 09	1833	1	1	1
! 09	1834	4	4	4
! 09	1836	1	1	1
! 09	1839	1	1	1
! 09	1840	1	1	1
! 09	1841	2	2	2
! 09	1845	1	1	1
! 09	1847	2	2	2
! 09	1848	1	1	1
! 09	1856	1	1	1
! 09	1857	2	2	2
! 09	1858	1	1	1
! 09	1860	1	1	1
! 09	1861	1	1	1
! 09	1866	1	1	1
! 09	1867	1	1	1
! 09	1869	1	1	1
! 09	1872	1	1	1
! 09	1876	2	2	2
! 09	1877	2	2	2
! 09	1878	2	2	2
! 09	1879	2	2	2
! 09	1880	2	2	2
! 09	1881	3	3	3
! 09	1882	2	2	2
! 09	1883	1	1	1
! 09	1884	5	5	5
! 09	1885	2	2	2
! 09	1887	1	1	1
! 09	1888	2	2	2
! 09	1889	2	2	2
! 09	1891	4	4	4
! 09	1892	2	2	2
! 09	1894	4	4	4
! 09	1895	1	1	1
! 09	1898	2	2	2
! 09	1899	6	6	5
! 09	1900	2	2	2
! 09	1901	5	5	5
! 09	1903	1	1	1
! 09	1904	4	4	4
! 09	1905	4	4	4
! 09	1907	3	3	3
! 09	1908	2	2	2
! 09	1909	2	2	2
! 09	1910	3	3	3
! 09	1911	1	1	1
! 09	1912	2	2	2
! 09	1913	1	1	1
! 09	1914	2	2	2
! 09	1915	1	1	1
! 09	1916	7	7	4
! 09	1917	3	3	3
! 09	1920	1	1	1
! 09	1921	3	3	3
! 09	1922	5	5	5
! 09	1923	4	4	3
! 09	1924	1	1	1
! 09	1925	2	2	2
! 09	1927	1	1	1
! 09	1928	1	1	1
! 09	1929	1	1	1
! 09	1931	2	2	2
! 09	1932	1	1	1
! 09	1933	1	1	1
! 09	1934	1	1	1
! 09	1935	2	2	1
! 09	1936	6	6	6
! 09	1937	1	1	1
! 09	1938	4	4	4
! 09	1941	5	5	5
! 09	1985	1	1	1
! 09	1987	1	1	1
! 09	1990	1	1	1
! 09	1991	1	1	1
! 09	1992	5	5	5
! 09	1993	2	2	2
! 09	1995	1	1	1
! 09	1996	4	2	2
! 09	1997	6	5	5
! 09	1998	4	3	3
! 09	1999	11	10	10
! 09	2000	11	9	9
! 09	2001	5	4	4
! 09	2002	5	5	5
! 09	2003	2	2	2
! 09	2004	14	14	14
! 09	2005	13	13	13
! 09	2006	5	5	5
! 09	2007	2	2	2
! 09	2008	2	2	2